,Year,Sport,Sex,avg_age,avg_height,avg_weight
224,1976,Athletics,F,21.0,169.0,60.0
225,1976,Athletics,M,24.0,183.0,78.0
226,1976,Basketball,F,21.0,180.0,71.0
227,1976,Basketball,M,21.0,198.0,93.0
228,1976,Boxing,M,21.0,178.0,66.0
229,1976,Canoeing,F,20.0,170.0,65.0
230,1976,Canoeing,M,26.0,184.0,78.0
231,1976,Cycling,M,22.0,181.0,75.0
232,1976,Diving,F,21.0,162.0,53.0
233,1976,Diving,M,20.0,172.0,68.0
234,1976,Equestrianism,F,32.0,166.0,58.0
235,1976,Equestrianism,M,29.0,180.0,70.0
236,1976,Fencing,F,28.0,168.0,62.0
237,1976,Fencing,M,27.0,181.0,77.0
238,1976,Gymnastics,F,18.0,161.0,48.0
239,1976,Gymnastics,M,22.0,167.0,56.0
240,1976,Handball,M,27.0,189.0,87.0
241,1976,Judo,M,24.0,178.0,86.0
242,1976,Modern Pentathlon,M,26.0,185.0,75.0
243,1976,Rowing,F,23.0,173.0,67.0
244,1976,Rowing,M,25.0,189.0,84.0
245,1976,Sailing,M,28.0,179.0,78.0
246,1976,Shooting,F,33.0,163.0,73.0
247,1976,Shooting,M,32.0,183.0,85.0
248,1976,Swimming,F,18.0,174.0,63.0
249,1976,Swimming,M,20.0,187.0,80.0
250,1976,Weightlifting,M,27.0,177.0,98.0
251,1976,Wrestling,M,24.0,173.0,78.0
252,1984,Archery,F,30.0,177.0,68.0
253,1984,Archery,M,27.0,178.0,69.0
254,1984,Athletics,F,24.0,170.0,61.0
255,1984,Athletics,M,25.0,185.0,80.0
256,1984,Basketball,F,22.0,184.0,69.0
257,1984,Basketball,M,21.0,201.0,99.0
258,1984,Boxing,M,21.0,178.0,68.0
259,1984,Canoeing,F,24.0,176.0,66.0
260,1984,Canoeing,M,26.0,184.0,81.0
261,1984,Cycling,F,22.0,172.0,58.0
262,1984,Cycling,M,24.0,179.0,74.0
263,1984,Diving,F,23.0,164.0,54.0
264,1984,Diving,M,23.0,173.0,70.0
265,1984,Equestrianism,F,34.0,167.0,56.0
266,1984,Equestrianism,M,35.0,183.0,72.0
267,1984,Fencing,F,27.0,169.0,60.0
268,1984,Fencing,M,27.0,185.0,77.0
269,1984,Football,M,24.0,178.0,76.0
270,1984,Gymnastics,F,18.0,152.0,44.0
271,1984,Gymnastics,M,24.0,166.0,62.0
272,1984,Handball,F,26.0,172.0,68.0
273,1984,Handball,M,26.0,191.0,88.0
274,1984,Hockey,F,27.0,168.0,60.0
275,1984,Hockey,M,25.0,179.0,75.0
276,1984,Judo,M,24.0,180.0,85.0
277,1984,Modern Pentathlon,M,28.0,182.0,77.0
278,1984,Rhythmic Gymnastics,F,18.0,162.0,50.0
279,1984,Rowing,F,27.0,174.0,68.0
280,1984,Rowing,M,27.0,189.0,86.0
281,1984,Sailing,M,29.0,182.0,79.0
282,1984,Shooting,F,29.0,171.0,63.0
283,1984,Shooting,M,32.0,176.0,80.0
284,1984,Swimming,F,19.0,173.0,62.0
285,1984,Swimming,M,21.0,186.0,80.0
286,1984,Synchronized Swimming,F,21.0,162.0,53.0
287,1984,Volleyball,F,25.0,182.0,68.0
288,1984,Volleyball,M,27.0,193.0,87.0
289,1984,Water Polo,M,27.0,189.0,87.0
290,1984,Weightlifting,M,25.0,174.0,94.0
291,1984,Wrestling,M,25.0,173.0,77.0
292,1988,Archery,F,23.0,163.0,58.0
293,1988,Archery,M,30.0,177.0,64.0
294,1988,Athletics,F,26.0,170.0,60.0
295,1988,Athletics,M,26.0,185.0,80.0
296,1988,Basketball,F,23.0,182.0,66.0
297,1988,Basketball,M,22.0,199.0,94.0
298,1988,Boxing,M,22.0,176.0,67.0
299,1988,Canoeing,F,27.0,169.0,64.0
300,1988,Canoeing,M,26.0,182.0,80.0
301,1988,Cycling,F,27.0,165.0,56.0
302,1988,Cycling,M,24.0,182.0,77.0
303,1988,Diving,F,25.0,165.0,54.0
304,1988,Diving,M,26.0,173.0,71.0
305,1988,Equestrianism,F,33.0,169.0,61.0
306,1988,Equestrianism,M,34.0,183.0,71.0
307,1988,Fencing,F,26.0,174.0,61.0
308,1988,Fencing,M,29.0,184.0,75.0
309,1988,Football,M,23.0,180.0,77.0
310,1988,Gymnastics,F,17.0,150.0,41.0
311,1988,Gymnastics,M,22.0,170.0,66.0
312,1988,Handball,F,25.0,175.0,68.0
313,1988,Handball,M,27.0,191.0,90.0
